,Life expectancy,Country code,Education index,Country,Population,GDP,GDP per capita,Total tax revenue,Government spending,Spending per Capita,Tax per Capita,HDI,Category
0,85.03,JPN,0.848,Japan,125681593.0,4932556000000.0,39246.0,1334944000000.0,1609710000000.0,12807.842115750394,10621.634943790059,0.925,very high
1,84.25,CHE,0.897,Switzerland,8736510.0,799796000000.0,91546.0,234445000000.0,264232000000.0,30244.57134485052,26835.08632165476,0.962,very high
2,84.07,SGP,0.832,Singapore,5454000.0,396992000000.0,72795.0,59678000000.0,96031000000.0,17607.444077741107,10942.060872753942,0.939,very high
3,84.01,ITA,0.791,Italy,58983122.0,2101275000000.0,35625.0,620739000000.0,940771000000.0,15949.833920286552,10524.01058051827,0.895,very high
4,83.99,ESP,0.824,Spain,47615034.0,1426224000000.0,30090.0,481945000000.0,657750000000.0,13813.91431958234,10121.698117447528,0.905,very high
5,83.94,AUS,0.929,Australia,25767000.0,1635255000000.0,63464.0,459546000000.0,593856000000.0,23047.153335661893,17834.672255210153,0.951,very high
6,83.52,ISL,0.912,Iceland,376248.0,25459000000.0,67665.0,9962000000.0,9735000000.0,25873.8916884608,26477.217154642683,0.959,very high
7,83.5,KOR,0.862,South Korea,51736000.0,1797810000000.0,34744.0,363120000000.0,414452000000.0,8010.901499922685,7018.710375753827,0.925,very high
8,83.49,ISR,0.874,Israel,9367000.0,488527000000.0,52152.0,128865000000.0,178465000000.0,19052.52482118074,13757.339596455642,0.919,very high
9,83.33,SWE,0.904,Sweden,10452326.0,635664000000.0,60816.0,251009000000.0,282223000000.0,27000.97566799964,24014.654728526453,0.947,very high
10,83.13,FRA,0.84,France,67842582.0,2957425000000.0,45188.0,966407000000.0,1400776000000.0,20647.445287386025,14244.844042050168,0.903,very high
11,83.13,FRA,0.84,France,67842582.0,2957425000000.0,45188.0,966407000000.0,1400776000000.0,20647.445287386025,14244.844042050168,0.903,very high
12,82.74,FRA,0.84,France,67842582.0,2957425000000.0,45188.0,966407000000.0,1400776000000.0,20647.445287386025,14244.844042050168,0.903,very high
13,79.85,FRA,0.84,France,67842582.0,2957425000000.0,45188.0,966407000000.0,1400776000000.0,20647.445287386025,14244.844042050168,0.903,very high
14,83.06,MLT,0.818,Malta,520971.0,17376000000.0,33667.0,4295000000.0,4354000000.0,8357.47095327763,8244.220887535006,0.918,very high
15,82.96,CAN,0.899,Canada,38929902.0,1988336000000.0,52015.0,598434000000.0,917271000000.0,23562.11942172369,15372.091098508288,0.936,very high
16,82.94,NOR,0.915,Norway,5425270.0,482175000000.0,89042.0,196144000000.0,202684000000.0,37359.24663657293,36153.77667839573,0.961,very high
17,82.81,IRL,0.918,Ireland,5060005.0,504517000000.0,100129.0,93221000000.0,117149000000.0,23151.953407160665,18423.104324995726,0.945,very high
18,82.8,NZL,0.917,New Zealand,5112000.0,246974000000.0,48317.0,72532000000.0,90431000000.0,17689.945226917058,14188.575899843505,0.937,very high
19,82.8,GRC,0.838,Greece,10603810.0,216384000000.0,20263.0,93889000000.0,111371000000.0,10502.923005976154,8854.270304730093,0.887,very high
20,82.79,LUX,0.792,Luxembourg,645397.0,86711000000.0,134353.0,27600000000.0,27380000000.0,42423.50057406526,42764.37603521554,0.93,very high
21,82.78,NLD,0.906,Netherlands,17590672.0,1013520000000.0,57997.0,352603000000.0,430220000000.0,24457.28054050465,20044.88515276733,0.941,very high
22,79.41,NLD,0.906,Netherlands,17590672.0,1013520000000.0,57997.0,352603000000.0,430220000000.0,24457.28054050465,20044.88515276733,0.941,very high
