Date,All
01/01/2001,1524
01/02/2001,1339
01/03/2001,1315
01/04/2001,1239
01/05/2001,1211
01/06/2001,1134
01/07/2001,1147
01/08/2001,1107
01/09/2001,1060
01/10/2001,1211
01/11/2001,1228
01/12/2001,1250
01/01/2002,1582
01/02/2002,1312
01/03/2002,1167
01/04/2002,1303
01/05/2002,1187
01/06/2002,1056
01/07/2002,1191
01/08/2002,1061
01/09/2002,1109
01/10/2002,1232
01/11/2002,1184
01/12/2002,1326
01/01/2003,1425
01/02/2003,1323
01/03/2003,1230
01/04/2003,1270
01/05/2003,1137
01/06/2003,1118
01/07/2003,1133
01/08/2003,1063
01/09/2003,1157
01/10/2003,1212
01/11/2003,1228
01/12/2003,1408
01/01/2004,1394
01/02/2004,1199
01/03/2004,1277
01/04/2004,1160
01/05/2004,1001
01/06/2004,1171
01/07/2004,1048
01/08/2004,1023
01/09/2004,1112
01/10/2004,1048
01/11/2004,1180
01/12/2004,1256
01/01/2005,1352
01/02/2005,1289
01/03/2005,1312
01/04/2005,1174
01/05/2005,1067
01/06/2005,1122
01/07/2005,963
01/08/2005,1038
01/09/2005,1033
01/10/2005,1015
01/11/2005,1134
01/12/2005,1169
01/01/2006,1279
01/02/2006,1224
01/03/2006,1277
01/04/2006,1085
01/05/2006,1095
01/06/2006,1084
01/07/2006,996
01/08/2006,1002
01/09/2006,968
01/10/2006,1035
01/11/2006,1121
01/12/2006,1034
01/01/2007,1288
01/02/2007,1261
01/03/2007,1134
01/04/2007,1084
01/05/2007,1053
01/06/2007,993
01/07/2007,1002
01/08/2007,986
01/09/2007,919
01/10/2007,1083
01/11/2007,1119
01/12/2007,1111
01/01/2008,1328
01/02/2008,1145
01/03/2008,1058
01/04/2008,1201
01/05/2008,987
01/06/2008,983
01/07/2008,1004
01/08/2008,874
01/09/2008,1014
01/10/2008,1053
01/11/2008,1020
01/12/2008,1343
01/01/2009,1374
01/02/2009,1139
01/03/2009,1049
01/04/2009,1031
01/05/2009,900
01/06/2009,988
01/07/2009,930
01/08/2009,826
01/09/2009,988
01/10/2009,981
01/11/2009,1010
01/12/2009,1117
01/01/2010,1182
01/02/2010,1107
01/03/2010,1097
01/04/2010,1018
01/05/2010,883
01/06/2010,1002
01/07/2010,885
01/08/2010,868
01/09/2010,978
01/10/2010,926
01/11/2010,1044
01/12/2010,1151
01/01/2011,1199
01/02/2011,1037
01/03/2011,1053
01/04/2011,906
01/05/2011,949
01/06/2011,977
01/07/2011,840
01/08/2011,905
01/09/2011,933
01/10/2011,873
01/11/2011,985
01/12/2011,1021
01/01/2012,1102
01/02/2012,1120
01/03/2012,1032
01/04/2012,1002
01/05/2012,1023
01/06/2012,880
01/07/2012,910
01/08/2012,902
01/09/2012,842
01/10/2012,997
01/11/2012,1002
01/12/2012,977
01/01/2013,1216
01/02/2013,1113
01/03/2013,1027
01/04/2013,1171
01/05/2013,963
01/06/2013,843
01/07/2013,905
01/08/2013,809
01/09/2013,858
01/10/2013,956
01/11/2013,930
01/12/2013,962
01/01/2014,1105
01/02/2014,1024
01/03/2014,923
01/04/2014,957
01/05/2014,879
01/06/2014,885
01/07/2014,915
01/08/2014,799
01/09/2014,939
01/10/2014,951
01/11/2014,904
01/12/2014,1099
01/01/2015,1348
01/02/2015,1142
01/03/2015,1055
01/04/2015,1028
01/05/2015,862
01/06/2015,952
01/07/2015,888
01/08/2015,791
01/09/2015,938
01/10/2015,920
01/11/2015,936
01/12/2015,988
01/01/2016,1034
01/02/2016,1070
01/03/2016,1052
01/04/2016,1048
01/05/2016,896
01/06/2016,940
01/07/2016,842
01/08/2016,875
01/09/2016,897
01/10/2016,868
01/11/2016,1032
01/12/2016,976
01/01/2017,1226
01/02/2017,1131
01/03/2017,1038
01/04/2017,855
01/05/2017,938
01/06/2017,923
01/07/2017,812
01/08/2017,866
01/09/2017,874
01/10/2017,917
01/11/2017,992
01/12/2017,950
01/01/2018,1349
01/02/2018,1140
01/03/2018,1069
01/04/2018,1004
01/05/2018,891
01/06/2018,857
01/07/2018,846
01/08/2018,835
01/09/2018,794
01/10/2018,917
01/11/2018,935
01/12/2018,854
01/01/2019,1108
01/02/2019,1041
01/03/2019,901
01/04/2019,930
01/05/2019,906
01/06/2019,815
01/07/2019,862
01/08/2019,789
01/09/2019,841
01/10/2019,939
01/11/2019,948
01/12/2019,960
01/01/2020,1152
01/02/2020,946
01/03/2020,1009
01/04/2020,1867
01/05/2020,1069
01/06/2020,891
01/07/2020,825
01/08/2020,749
01/09/2020,886
01/10/2020,929
01/11/2020,1060
01/12/2020,1126
01/01/2021,1465
01/02/2021,1307
01/03/2021,968
01/04/2021,852
01/05/2021,749
01/06/2021,844
01/07/2021,856
01/08/2021,852
01/09/2021,966
01/10/2021,912
01/11/2021,1043
01/12/2021,1034
01/01/2022,1039
01/02/2022,994
01/03/2022,961
01/04/2022,921
01/05/2022,943
01/06/2022,887
01/07/2022,869
01/08/2022,916
01/09/2022,907
