"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1965","1965","USD","US Dollar","9","Billions",,,5.608,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1966","1966","USD","US Dollar","9","Billions",,,5.996,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1967","1967","USD","US Dollar","9","Billions",,,6.631,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1968","1968","USD","US Dollar","9","Billions",,,7.405,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1969","1969","USD","US Dollar","9","Billions",,,8.488,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1970","1970","USD","US Dollar","9","Billions",,,9.566,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1971","1971","USD","US Dollar","9","Billions",,,11.308,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1972","1972","USD","US Dollar","9","Billions",,,13.825,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1973","1973","USD","US Dollar","9","Billions",,,19.44,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1974","1974","USD","US Dollar","9","Billions",,,24.135,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1975","1975","USD","US Dollar","9","Billions",,,26.81,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1976","1976","USD","US Dollar","9","Billions",,,28.61,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1977","1977","USD","US Dollar","9","Billions",,,30.087,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1978","1978","USD","US Dollar","9","Billions",,,32.92,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1979","1979","USD","US Dollar","9","Billions",,,38.163,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1980","1980","USD","US Dollar","9","Billions",,,45.664,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1981","1981","USD","US Dollar","9","Billions",,,49.939,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1982","1982","USD","US Dollar","9","Billions",,,48.495,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1983","1983","USD","US Dollar","9","Billions",,,49.526,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1984","1984","USD","US Dollar","9","Billions",,,50.616,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1985","1985","USD","US Dollar","9","Billions",,,49.348,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1986","1986","USD","US Dollar","9","Billions",,,55.751,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1987","1987","USD","US Dollar","9","Billions",,,68.479,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1988","1988","USD","US Dollar","9","Billions",,,81.716,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1989","1989","USD","US Dollar","9","Billions",,,88.85,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1990","1990","USD","US Dollar","9","Billions",,,90.808,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1991","1991","USD","US Dollar","9","Billions",,,85.14,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1992","1992","USD","US Dollar","9","Billions",,,81.737,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1993","1993","USD","US Dollar","9","Billions",,,87.196,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1994","1994","USD","US Dollar","9","Billions",,,100.081,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1995","1995","USD","US Dollar","9","Billions",,,113.636,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1996","1996","USD","US Dollar","9","Billions",,,122.373,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1997","1997","USD","US Dollar","9","Billions",,,114.669,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1998","1998","USD","US Dollar","9","Billions",,,116.182,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","1999","1999","USD","US Dollar","9","Billions",,,120.471,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2000","2000","USD","US Dollar","9","Billions",,,117.291,,
