Date,Value,Type,Year
2001 JAN,324,Private Sector,2001
2001 FEB,326,Private Sector,2001
2001 MAR,321,Private Sector,2001
2001 APR,327,Private Sector,2001
2001 MAY,326,Private Sector,2001
2001 JUN,328,Private Sector,2001
2001 JUL,328,Private Sector,2001
2001 AUG,330,Private Sector,2001
2001 SEP,330,Private Sector,2001
2001 OCT,332,Private Sector,2001
2001 NOV,333,Private Sector,2001
2001 DEC,335,Private Sector,2001
2002 JAN,335,Private Sector,2002
2002 FEB,334,Private Sector,2002
2002 MAR,330,Private Sector,2002
2002 APR,337,Private Sector,2002
2002 MAY,338,Private Sector,2002
2002 JUN,340,Private Sector,2002
2002 JUL,340,Private Sector,2002
2002 AUG,341,Private Sector,2002
2002 SEP,341,Private Sector,2002
2002 OCT,340,Private Sector,2002
2002 NOV,341,Private Sector,2002
2002 DEC,341,Private Sector,2002
2003 JAN,341,Private Sector,2003
2003 FEB,340,Private Sector,2003
2003 MAR,344,Private Sector,2003
2003 APR,346,Private Sector,2003
2003 MAY,347,Private Sector,2003
2003 JUN,347,Private Sector,2003
2003 JUL,348,Private Sector,2003
2003 AUG,349,Private Sector,2003
2003 SEP,351,Private Sector,2003
2003 OCT,353,Private Sector,2003
2003 NOV,353,Private Sector,2003
2003 DEC,354,Private Sector,2003
2004 JAN,356,Private Sector,2004
2004 FEB,350,Private Sector,2004
2004 MAR,357,Private Sector,2004
2004 APR,360,Private Sector,2004
2004 MAY,362,Private Sector,2004
2004 JUN,362,Private Sector,2004
2004 JUL,364,Private Sector,2004
2004 AUG,365,Private Sector,2004
2004 SEP,367,Private Sector,2004
2004 OCT,370,Private Sector,2004
2004 NOV,370,Private Sector,2004
2004 DEC,371,Private Sector,2004
2005 JAN,372,Private Sector,2005
2005 FEB,370,Private Sector,2005
2005 MAR,372,Private Sector,2005
2005 APR,374,Private Sector,2005
2005 MAY,375,Private Sector,2005
2005 JUN,377,Private Sector,2005
2005 JUL,380,Private Sector,2005
2005 AUG,383,Private Sector,2005
2005 SEP,384,Private Sector,2005
2005 OCT,385,Private Sector,2005
2005 NOV,387,Private Sector,2005
2005 DEC,387,Private Sector,2005
2006 JAN,384,Private Sector,2006
2006 FEB,391,Private Sector,2006
2006 MAR,394,Private Sector,2006
2006 APR,394,Private Sector,2006
2006 MAY,395,Private Sector,2006
2006 JUN,399,Private Sector,2006
2006 JUL,398,Private Sector,2006
2006 AUG,399,Private Sector,2006
2006 SEP,400,Private Sector,2006
2006 OCT,403,Private Sector,2006
2006 NOV,405,Private Sector,2006
2006 DEC,412,Private Sector,2006
2007 JAN,412,Private Sector,2007
2007 FEB,423,Private Sector,2007
2007 MAR,411,Private Sector,2007
2007 APR,412,Private Sector,2007
2007 MAY,414,Private Sector,2007
2007 JUN,417,Private Sector,2007
2007 JUL,420,Private Sector,2007
2007 AUG,421,Private Sector,2007
2007 SEP,424,Private Sector,2007
2007 OCT,422,Private Sector,2007
2007 NOV,426,Private Sector,2007
2007 DEC,425,Private Sector,2007
2008 JAN,428,Private Sector,2008
2008 FEB,440,Private Sector,2008
2008 MAR,433,Private Sector,2008
2008 APR,432,Private Sector,2008
2008 MAY,433,Private Sector,2008
2008 JUN,433,Private Sector,2008
2008 JUL,433,Private Sector,2008
2008 AUG,433,Private Sector,2008
2008 SEP,434,Private Sector,2008
2008 OCT,436,Private Sector,2008
2008 NOV,435,Private Sector,2008
2008 DEC,435,Private Sector,2008
2009 JAN,433,Private Sector,2009
2009 FEB,417,Private Sector,2009
2009 MAR,406,Private Sector,2009
2009 APR,435,Private Sector,2009
2009 MAY,433,Private Sector,2009
2009 JUN,433,Private Sector,2009
2009 JUL,431,Private Sector,2009
2009 AUG,432,Private Sector,2009
2009 SEP,432,Private Sector,2009
2009 OCT,432,Private Sector,2009
2009 NOV,432,Private Sector,2009
2009 DEC,434,Private Sector,2009
2010 JAN,433,Private Sector,2010
2010 FEB,442,Private Sector,2010
2010 MAR,435,Private Sector,2010
2010 APR,434,Private Sector,2010
2010 MAY,437,Private Sector,2010
2010 JUN,433,Private Sector,2010
2010 JUL,437,Private Sector,2010
2010 AUG,439,Private Sector,2010
2010 SEP,440,Private Sector,2010
