Country code,Income Tax,Sales Tax,Corporation Tax
afg,20,10,20
ala,,,
alb,23,20,15
dza,35,19,26
asm,,,
and,,,
ago,25,14,25
aia,,,
atg,,,
arg,35,21,25
arm,22,20,18
abw,52,3,25
aus,45,10,30
aut,55,20,25
aze,25,18,20
bhs,0,12,0
bhr,0,5,0
bgd,25,15,32
brb,28,17,5
blr,13,20,18
bel,50,21,25
blz,,,
ben,30,18,30
bmu,0,,0
btn,,,
bol,13,13,25
bes,,,
bih,10,17,10
bwa,25,12,22
bvt,,,
bra,27,17,34
iot,,,
brn,0,,18
bgr,10,20,10
bfa,25,18,27.5
bdi,30,18,30
cpv,,,
khm,20,10,20
cmr,35,19,33
can,33,5,26
cym,0,,0
caf,40,19,30
tcd,30,18,35
chl,40,19,27
chn,45,13,25
cxr,,,
cck,,,
col,39,19,31
com,,,
cog,40,16,30
cod,40,18,28
cok,,,
cri,25,9,30
civ,60,18,25
hrv,30,25,18
cub,,,
cuw,,,
cyp,35,19,12
cze,23,21,19
dnk,55,25,22
dji,,,
dma,,,
dom,25,18,28
ecu,35,12,25
egy,25,14,22
slv,30,13,30
gnq,35,15,35
eri,34,5,34
est,20,20,20
swz,33,15,27.5
eth,35,15,30
flk,,,
fro,,,
fji,20,9,20
fin,56,24,20
fra,45,20,26
guf,,,
pyf,,,
atf,,,
gab,35,18,30
gmb,30,15,27
geo,20,18,15
deu,45,19,30
gha,30,13,25
gib,,,
grc,44,24,24
grl,44,0,25
grd,,,
glp,,,
gum,,,
gtm,7,12,25
ggy,,,
gin,40,14,35
gnb,40,17,25
guy,,,
hti,,,
hmd,,,
vat,,,
hnd,25,15,25
hkg,15,,16
hun,15,27,9
isl,46,24,20
ind,42,18,25
idn,30,10,22
irn,30,9,25
irq,15,,35
irl,48,23,12
imn,20,20,0
isr,50,17,23
ita,43,22,24
jam,30,15,25
jpn,55,10,30
jey,,,
jor,30,16,20
kaz,10,12,20
ken,30,16,30
kir,,,
prk,,,
kor,45,10,25
kwt,0,0,15
kgz,10,12,10
lao,25,10,20
lva,31,21,20
lbn,25,11,17
lso,30,15,25
lbr,,,
lby,10,,20
lie,22,7,12
ltu,20,21,15
lux,45,17,24
mac,12,,12
mdg,20,20,20
mwi,30,16,30
mys,30,10,24
mdv,,,
mli,30,18,30
mlt,35,18,35
mhl,,,
mtq,,,
mrt,40,16,25
mus,15,15,15
myt,,,
mex,35,16,30
fsm,,,
mda,12,20,12
mco,,,
mng,10,10,25
mne,9,21,9
msr,,,
mar,38,20,31
moz,32,17,32
mmr,25,5,25
nam,37,15,32
nru,,,
npl,,,
nld,49,21,25
ncl,,,
nzl,39,15,28
nic,30,15,30
ner,35,19,30
nga,24,7,30
niu,,,
nfk,,,
mkd,18,18,10
mnp,,,
nor,38,25,22
omn,0,5,15
pak,35,17,29
plw,,,
pse,,,
pan,25,7,25
png,42,10,30
pry,10,10,10
per,30,18,29
phl,35,12,30
pcn,,,
pol,32,23,19
prt,48,23,21
pri,33,,37
qat,0,,10
reu,,,
rou,10,19,16
rus,13,20,20
rwa,30,18,30
blm,,,
shn,,,
kna,,,
lca,,,
maf,,,
spm,,,
vct,,,
wsm,27,15,27
smr,,,
stp,,,
sau,0,15,20
sen,40,18,30
srb,10,20,15
syc,15,15,33
sle,15,15,30
sgp,22,7,17
sxm,,,
svk,25,20,21
svn,50,22,19
slb,,,
som,30,10,12.3
zaf,45,15,28
sgs,,,
ssd,20,17,35
esp,47,21,25
lka,24,8,24
sdn,15,17,35
sur,38,10,36
sjm,,,
swe,52,25,20
che,40,7,14
syr,22,,28
twn,40,5,20
tjk,13,18,
tza,30,18,30
tha,35,7,20
tls,,,
tgo,35,18,27
tkl,,,
ton,,,
tto,25,12,30
tun,35,19,15
tur,40,18,25
tkm,10,15,8
tca,,,
tuv,,,
uga,40,18,30
ukr,18,20,18
are,0,5,0
gbr,45,20,19
usa,37,0,21
umi,,,
ury,36,22,25
uzb,12,15,7
vut,,,
ven,34,16,34
vnm,35,10,20
vgb,,,
vir,,,
wlf,,,
esh,,,
yem,15,5,20
zmb,37,16,35
zwe,40,14,24
