,Year,Type,Value,Country
0,1965,Total tax revenue,10945,UK
1,1966,Total tax revenue,11946,UK
2,1967,Total tax revenue,13320,UK
3,1968,Total tax revenue,14976,UK
4,1969,Total tax revenue,16934,UK
5,1970,Total tax revenue,19080,UK
6,1971,Total tax revenue,20167,UK
7,1972,Total tax revenue,21474,UK
8,1973,Total tax revenue,23324,UK
9,1974,Total tax revenue,28900,UK
10,1975,Total tax revenue,37343,UK
11,1976,Total tax revenue,43954,UK
12,1977,Total tax revenue,50389,UK
13,1978,Total tax revenue,55380,UK
14,1979,Total tax revenue,63624,UK
15,1980,Total tax revenue,81153,UK
16,1981,Total tax revenue,92880,UK
17,1982,Total tax revenue,108233,UK
18,1983,Total tax revenue,113345,UK
19,1984,Total tax revenue,122092,UK
20,1985,Total tax revenue,133701,UK
21,1986,Total tax revenue,145729,UK
22,1987,Total tax revenue,154902,UK
23,1988,Total tax revenue,173088,UK
24,1989,Total tax revenue,186990,UK
25,1990,Total tax revenue,202368,UK
26,1991,Total tax revenue,205304,UK
27,1992,Total tax revenue,207654,UK
28,1993,Total tax revenue,211438,UK
29,1994,Total tax revenue,228041,UK
30,1995,Total tax revenue,249597,UK
31,1996,Total tax revenue,264778,UK
32,1997,Total tax revenue,284587,UK
33,1998,Total tax revenue,312365,UK
34,1999,Total tax revenue,332778,UK
35,2000,Total tax revenue,359690,UK
36,2001,Total tax revenue,369143,UK
37,2002,Total tax revenue,374624,UK
38,2003,Total tax revenue,392640,UK
39,2004,Total tax revenue,424991,UK
40,2005,Total tax revenue,454976,UK
41,2006,Total tax revenue,483578,UK
42,2007,Total tax revenue,509308,UK
43,2008,Total tax revenue,512205,UK
44,2009,Total tax revenue,481292,UK
45,2010,Total tax revenue,515253,UK
46,2011,Total tax revenue,546130,UK
47,2012,Total tax revenue,550431,UK
48,2013,Total tax revenue,570196,UK
49,2014,Total tax revenue,590196,UK
50,2015,Total tax revenue,611338,UK
51,2016,Total tax revenue,649143,UK
52,2017,Total tax revenue,681497,UK
53,2018,Total tax revenue,704795,UK
54,2019,Total tax revenue,726723,UK
55,2020,Total tax revenue,690450,UK
56,2021,Total tax revenue,775646,UK
57,1965,Income tax,3615,UK
58,1966,Income tax,4446,UK
59,1967,Income tax,4115,UK
60,1968,Income tax,4585,UK
61,1969,Income tax,5157,UK
62,1970,Income tax,5752,UK
63,1971,Income tax,6493,UK
64,1972,Income tax,6687,UK
65,1973,Income tax,7371,UK
66,1974,Income tax,9869,UK
67,1975,Income tax,14448,UK
68,1976,Income tax,16801,UK
69,1977,Income tax,17453,UK
70,1978,Income tax,18785,UK
71,1979,Income tax,20355,UK
72,1980,Income tax,23376,UK
73,1981,Income tax,26958,UK
74,1982,Income tax,29786,UK
75,1983,Income tax,31023,UK
76,1984,Income tax,32064,UK
77,1985,Income tax,33965,UK
78,1986,Income tax,39283,UK
79,1987,Income tax,40040,UK
80,1988,Income tax,43268,UK
81,1989,Income tax,46546,UK
82,1990,Income tax,57614,UK
83,1991,Income tax,58951,UK
84,1992,Income tax,61021,UK
