DATE,NGDPRSAXDCGBQ
1955-01-01,122480.0
1955-04-01,122587.0
1955-07-01,125065.0
1955-10-01,124385.0
1956-01-01,125815.0
1956-04-01,125593.0
1956-07-01,125447.0
1956-10-01,126009.0
1957-01-01,128529.0
1957-04-01,128542.0
1957-07-01,127752.0
1957-10-01,127983.0
1958-01-01,130799.0
1958-04-01,127691.0
1958-07-01,130533.0
1958-10-01,130667.0
1959-01-01,131520.0
1959-04-01,133707.0
1959-07-01,136581.0
1959-10-01,140079.0
1960-01-01,143570.0
1960-04-01,142468.0
1960-07-01,144621.0
1960-10-01,145485.0
1961-01-01,147857.0
1961-04-01,148483.0
1961-07-01,147723.0
1961-10-01,147466.0
1962-01-01,148126.0
1962-04-01,149496.0
1962-07-01,150431.0
1962-10-01,149840.0
1963-01-01,150468.0
1963-04-01,157076.0
1963-07-01,157838.0
1963-10-01,161415.0
1964-01-01,162418.0
1964-04-01,165445.0
1964-07-01,166080.0
1964-10-01,168601.0
1965-01-01,168089.0
1965-04-01,168213.0
1965-07-01,169597.0
1965-10-01,170637.0
1966-01-01,170920.0
1966-04-01,171922.0
1966-07-01,172457.0
1966-10-01,171718.0
1967-01-01,174034.0
1967-04-01,176506.0
1967-07-01,177284.0
1967-10-01,178174.0
1968-01-01,184678.0
1968-04-01,183948.0
1968-07-01,187559.0
1968-10-01,188298.0
1969-01-01,187827.0
1969-04-01,189315.0
1969-07-01,190360.0
1969-10-01,191251.0
1970-01-01,190038.0
1970-04-01,194525.0
1970-07-01,196458.0
1970-10-01,198170.0
1971-01-01,197189.0
1971-04-01,200725.0
1971-07-01,204291.0
1971-10-01,205078.0
1972-01-01,205311.0
1972-04-01,210739.0
1972-07-01,211309.0
1972-10-01,214593.0
1973-01-01,225247.0
1973-04-01,225549.0
1973-07-01,223418.0
1973-10-01,222443.0
1974-01-01,216353.0
1974-04-01,219445.0
1974-07-01,220813.0
1974-10-01,217582.0
1975-01-01,217713.0
1975-04-01,214124.0
1975-07-01,213374.0
1975-10-01,215819.0
1976-01-01,219387.0
1976-04-01,219103.0
1976-07-01,221890.0
1976-10-01,226590.0
1977-01-01,226632.0
1977-04-01,225007.0
1977-07-01,226539.0
1977-10-01,230398.0
1978-01-01,232433.0
1978-04-01,235149.0
1978-07-01,238389.0
1978-10-01,240544.0
1979-01-01,239688.0
1979-04-01,250229.0
1979-07-01,244642.0
1979-10-01,247184.0
1980-01-01,244829.0
1980-04-01,239940.0
1980-07-01,239690.0
1980-10-01,237071.0
1981-01-01,236943.0
1981-04-01,237479.0
1981-07-01,240075.0
1981-10-01,240369.0
1982-01-01,240798.0
1982-04-01,243332.0
1982-07-01,243927.0
1982-10-01,245627.0
1983-01-01,250178.0
1983-04-01,252248.0
1983-07-01,254981.0
1983-10-01,257154.0
1984-01-01,258948.0
1984-04-01,256664.0
1984-07-01,258309.0
1984-10-01,263374.0
1985-01-01,265480.0
1985-04-01,271155.0
1985-07-01,271404.0
1985-10-01,272045.0
1986-01-01,275127.0
1986-04-01,277167.0
1986-07-01,278438.0
1986-10-01,283425.0
1987-01-01,286089.0
1987-04-01,290275.0
1987-07-01,297303.0
1987-10-01,300606.0
1988-01-01,305824.0
1988-04-01,307500.0
1988-07-01,312065.0
1988-10-01,314663.0
1989-01-01,315946.0
1989-04-01,317925.0
1989-07-01,318139.0
1989-10-01,318355.0
1990-01-01,320418.0
1990-04-01,321991.0
1990-07-01,318578.0
1990-10-01,317429.0
1991-01-01,316429.0
1991-04-01,315958.0
1991-07-01,315193.0
1991-10-01,315669.0
1992-01-01,315631.0
1992-04-01,315196.0
1992-07-01,317131.0
1992-10-01,319248.0
1993-01-01,321451.0
1993-04-01,322977.0
1993-07-01,325512.0
1993-10-01,327688.0
1994-01-01,331506.0
1994-04-01,335294.0
1994-07-01,338943.0
1994-10-01,340781.0
1995-01-01,342962.0
1995-04-01,343589.0
1995-07-01,347031.0
1995-10-01,347651.0
1996-01-01,349056.0
1996-04-01,349195.0
1996-07-01,352909.0
1996-10-01,356423.0
1997-01-01,361885.0
1997-04-01,365725.0
1997-07-01,369141.0
1997-10-01,374512.0
1998-01-01,376761.0
1998-04-01,378766.0
1998-07-01,379906.0
1998-10-01,382282.0
1999-01-01,385025.0
1999-04-01,386581.0
1999-07-01,393078.0
1999-10-01,398776.0
2000-01-01,403407.0
2000-04-01,406049.0
2000-07-01,408120.0
2000-10-01,409871.0
2001-01-01,413381.0
2001-04-01,414894.0
2001-07-01,416803.0
2001-10-01,417480.0
2002-01-01,418930.0
2002-04-01,421133.0
2002-07-01,424190.0
2002-10-01,427745.0
2003-01-01,430454.0
2003-04-01,434140.0
2003-07-01,438419.0
2003-10-01,441827.0
2004-01-01,443792.0
2004-04-01,446140.0
2004-07-01,447205.0
2004-10-01,448619.0
2005-01-01,451985.0
2005-04-01,456263.0
2005-07-01,460177.0
2005-10-01,464981.0
2006-01-01,466584.0
2006-04-01,467684.0
2006-07-01,468351.0
2006-10-01,470396.0
2007-01-01,475292.0
2007-04-01,478424.0
2007-07-01,482064.0
2007-10-01,485249.0
2008-01-01,487601.0
2008-04-01,485278.0
2008-07-01,477935.0
2008-10-01,467250.0
2009-01-01,458181.0
2009-04-01,456867.0
2009-07-01,457471.0
2009-10-01,459031.0
2010-01-01,463391.0
2010-04-01,468691.0
2010-07-01,471664.0
2010-10-01,472312.0
2011-01-01,473510.0
2011-04-01,473773.0
2011-07-01,474501.0
2011-10-01,474303.0
2012-01-01,478242.0
2012-04-01,477974.0
2012-07-01,483913.0
2012-10-01,483422.0
2013-01-01,484555.0
2013-04-01,487845.0
2013-07-01,491499.0
2013-10-01,494658.0
2014-01-01,499294.0
2014-04-01,503659.0
2014-07-01,507485.0
2014-10-01,510787.0
2015-01-01,512895.0
2015-04-01,516141.0
2015-07-01,518365.0
2015-10-01,522194.0
2016-01-01,524102.0
2016-04-01,527401.0
2016-07-01,529730.0
2016-10-01,533173.0
2017-01-01,537114.0
2017-04-01,539994.0
2017-07-01,542780.0
2017-10-01,546185.0
2018-01-01,547003.0
2018-04-01,549491.0
2018-07-01,552545.0
2018-10-01,553966.0
2019-01-01,557458.0
2019-04-01,558071.0
2019-07-01,561480.0
2019-10-01,561339.0
2020-01-01,546515.0
2020-04-01,431794.0
2020-07-01,503509.0
2020-10-01,509621.0
2021-01-01,503663.0
2021-04-01,536608.0
2021-07-01,546084.0
2021-10-01,554938.0
2022-01-01,558776.0
2022-04-01,560089.0
2022-07-01,559167.0
